geography,label,geo_level
25540,"Hartford-West Hartford-East Hartford, CT",B
25620,"Hattiesburg, MS",B
25860,"Hickory-Lenoir-Morganton, NC",B
25940,"Hilton Head Island-Bluffton-Beaufort, SC",B
25980,"Hinesville, GA",B
25999,"Not in metropolitan area, MA",B
26140,"Homosassa Springs, FL",B
26300,"Hot Springs, AR",B
26380,"Houma-Thibodaux, LA",B
26420,"Houston-The Woodlands-Sugar Land, TX",B
26580,"Huntington-Ashland, WV-KY-OH",B
26620,"Huntsville, AL",B
26820,"Idaho Falls, ID",B
26900,"Indianapolis-Carmel-Anderson, IN",B
26980,"Iowa City, IA",B
26999,"Not in metropolitan area, MI",B
27060,"Ithaca, NY",B
27100,"Jackson, MI",B
27140,"Jackson, MS",B
27180,"Jackson, TN",B
27260,"Jacksonville, FL",B
27340,"Jacksonville, NC",B
27500,"Janesville-Beloit, WI",B
27620,"Jefferson City, MO",B
27740,"Johnson City, TN",B
27780,"Johnstown, PA",B
27860,"Jonesboro, AR",B
27900,"Joplin, MO",B
27980,"Kahului-Wailuku-Lahaina, HI",B
27999,"Not in metropolitan area, MN",B
28020,"Kalamazoo-Portage, MI",B
28100,"Kankakee, IL",B
28140,"Kansas City, MO-KS",B
28420,"Kennewick-Richland, WA",B
28660,"Killeen-Temple, TX",B
28700,"Kingsport-Bristol-Bristol, TN-VA",B
28740,"Kingston, NY",B
28940,"Knoxville, TN",B
28999,"Not in metropolitan area, MS",B
29020,"Kokomo, IN",B
29100,"La Crosse-Onalaska, WI-MN",B
29180,"Lafayette, LA",B
29200,"Lafayette-West Lafayette, IN",B
29340,"Lake Charles, LA",B
29420,"Lake Havasu City-Kingman, AZ",B
29460,"Lakeland-Winter Haven, FL",B
29540,"Lancaster, PA",B
29620,"Lansing-East Lansing, MI",B
29700,"Laredo, TX",B
29740,"Las Cruces, NM",B
29820,"Las Vegas-Henderson-Paradise, NV",B
29940,"Lawrence, KS",B
29999,"Not in metropolitan area, MO",B
30020,"Lawton, OK",B
30140,"Lebanon, PA",B
30300,"Lewiston, ID-WA",B
30340,"Lewiston-Auburn, ME",B
30460,"Lexington-Fayette, KY",B
30620,"Lima, OH",B
30700,"Lincoln, NE",B
30780,"Little Rock-North Little Rock-Conway, AR",B
30860,"Logan, UT-ID",B
30980,"Longview, TX",B
30999,"Not in metropolitan area, MT",B
31020,"Longview, WA",B
